Województwo,Powiat,Nr strefy
podlaskie,białostocki,8
podlaskie,bielski,8
podlaskie,grajewski,7
podlaskie,hajnowski,8
podlaskie,kolneński,7
podlaskie,łomżyński,7
podlaskie,moniecki,8
podlaskie,sejneński,8
podlaskie,siemiatycki,8
podlaskie,sokólski,8
podlaskie,suwalski,8
podlaskie,wysokomazowiecki,8
podlaskie,zambrowski,7
pomorskie,Gdańsk,6
pomorskie,Gdynia,6
pomorskie,Słupsk,6
pomorskie,Sopot,6
pomorskie,bytowski,6
pomorskie,chojnicki,6
pomorskie,człuchowski,6
pomorskie,kartuski,6
pomorskie,kościerski,6
pomorskie,kwidzyński,6
pomorskie,lęborski,6
pomorskie,malborski,6
pomorskie,nowodworski,6
pomorskie,gdański,6
pomorskie,pucki,6
pomorskie,słupski,6
pomorskie,starogardzki,6
pomorskie,sztumski,6
pomorskie,tczewski,6
pomorskie,wejherowski,6
śląskie,Katowice,6
śląskie,Bielsko-Biała,6
śląskie,Bytom,6
śląskie,Chorzów,6
śląskie,Częstochowa,6
śląskie,Dąbrowa Górnicza,6
śląskie,Gliwice,6
śląskie,Jastrzębie-Zdrój,6
śląskie,Jaworzno,6
śląskie,Mysłowice,6
śląskie,Piekary Śląskie,6
śląskie,Ruda Śląska,6
śląskie,Rybnik,6
śląskie,Siemianowice Śląskie,6
śląskie,Sosnowiec,6
śląskie,Świętochłowice,6
śląskie,Tychy,6
śląskie,Zabrze,6
śląskie,Żory,6
śląskie,będziński,6
śląskie,bielski,6
śląskie,bieruńsko-lędziński,6
śląskie,cieszyński,6
śląskie,częstochowski,6
śląskie,gliwicki,6
śląskie,kłobucki,6
śląskie,lubliniecki,6
śląskie,mikołowski,6
śląskie,myszkowski,6
śląskie,pszczyński,6
śląskie,raciborski,6
śląskie,rybnicki,6
śląskie,tarnogórski,6
śląskie,wodzisławski,6
śląskie,zawierciański,7
śląskie,żywiecki,6
świętokrzyskie,Kielce,7
świętokrzyskie,buski,7
świętokrzyskie,jędrzejowski,7
świętokrzyskie,kazimierski,7
świętokrzyskie,kielecki,7
świętokrzyskie,konecki,7
świętokrzyskie,opatowski,7
świętokrzyskie,ostrowiecki,7
świętokrzyskie,pińczowski,7
świętokrzyskie,sandomierski,7
świętokrzyskie,skarżyski,7
świętokrzyskie,starachowicki,7
świętokrzyskie,staszowski,7
świętokrzyskie,włoszczowski,7
warmińsko-mazurskie,Olsztyn,7
warmińsko-mazurskie,Elbląg,7
warmińsko-mazurskie,bartoszycki,7
warmińsko-mazurskie,braniewski,7
warmińsko-mazurskie,działdowski,7
warmińsko-mazurskie,elbląski,7
warmińsko-mazurskie,ełcki,7
warmińsko-mazurskie,giżycki,7
warmińsko-mazurskie,gołdapski,7
warmińsko-mazurskie,iławski,7
warmińsko-mazurskie,kętrzyński,7
warmińsko-mazurskie,lidzbarski,7
warmińsko-mazurskie,mrągowski,7
warmińsko-mazurskie,nidzicki,7
warmińsko-mazurskie,nowomiejski,7
warmińsko-mazurskie,olecki,7
warmińsko-mazurskie,olsztyński,7
warmińsko-mazurskie,ostródzki,7
warmińsko-mazurskie,piski,7
warmińsko-mazurskie,szczycieński,7
warmińsko-mazurskie,węgorzewski,7
wielkopolskie,Poznań,6
wielkopolskie,Kalisz,6
wielkopolskie,Konin,6
wielkopolskie,Leszno,6
wielkopolskie,chodzieski,6
wielkopolskie,czarnkowsko-trzcianecki,5
wielkopolskie,gnieźnieński,6
wielkopolskie,gostyński,6
wielkopolskie,grodziski,5
wielkopolskie,jarociński,6
wielkopolskie,kaliski,6
wielkopolskie,kępiński,6
wielkopolskie,kolski,6
wielkopolskie,koniński,6
wielkopolskie,kościański,6
wielkopolskie,krotoszyński,6
wielkopolskie,leszczyński,6
wielkopolskie,międzychodzki,5
wielkopolskie,nowotomyski,5
wielkopolskie,obornicki,6
wielkopolskie,ostrowski,6
wielkopolskie,ostrzeszowski,6
wielkopolskie,pilski,6
wielkopolskie,pleszewski,6
wielkopolskie,poznański,6
wielkopolskie,rawicki,6
wielkopolskie,słupecki,6
wielkopolskie,szamotulski,5
wielkopolskie,średzki,6
wielkopolskie,śremski,6
wielkopolskie,turecki,6
wielkopolskie,wągrowiecki,6
wielkopolskie,wolsztyński,5
wielkopolskie,wrzesiński,6
wielkopolskie,złotowski,6
zachodniopomorskie,Szczecin,5
zachodniopomorskie,Koszalin,5
zachodniopomorskie,Świnoujście,5
zachodniopomorskie,białogardzki,5
zachodniopomorskie,choszczeński,5
zachodniopomorskie,drawski,5
zachodniopomorskie,goleniowski,5
zachodniopomorskie,gryficki,5
zachodniopomorskie,gryfiński,5
zachodniopomorskie,kamieński,5
zachodniopomorskie,kołobrzeski,5
zachodniopomorskie,koszaliński,5
zachodniopomorskie,łobeski,5
zachodniopomorskie,myśliborski,5
zachodniopomorskie,policki,5
zachodniopomorskie,pyrzycki,5
zachodniopomorskie,sławieński,6
zachodniopomorskie,stargardzki,5
zachodniopomorskie,szczecinecki,6
zachodniopomorskie,świdwiński,5
zachodniopomorskie,wałecki,5
